Team,SP+,Off. SP+,Def. SP+,ST SP+
94. ECU,-9.5,18.4 (110),27.9 (66),0.0 (76)
95. Marshall,-9.9,24.0 (83),33.9 (105),-0.6 (120)
96. J'ville St.,-9.9,21.8 (94),31.7 (92),-0.2 (87)
97. Ga. Southern,-10.3,26.5 (69),36.8 (124),0.2 (55)
98. NIU,-10.6,15.8 (123),26.4 (58),-0.6 (116)
99. UAB,-10.6,31.5 (42),42.1 (134),-0.7 (134)
100. Colorado St.,-10.6,23.5 (88),34.1 (108),0.4 (32)
101. SJSU,-11,21.6 (96),32.7 (98),-0.7 (130)
102. Utah St.,-11.1,30.5 (52),41.6 (132),-0.3 (92)
103. Army,-11.1,17.8 (116),28.9 (73),0.0 (69)
104. BGSU,-11.2,21.3 (98),32.5 (96),-0.6 (122)
105. N. Texas,-11.3,30.8 (47),42.1 (133),0.6 (13)
106. Georgia St.,-11.3,22.8 (90),34.1 (109),-0.6 (117)
107. Ohio,-12,11.2 (133),23.2 (37),-0.7 (132)
108. FAU,-12.2,16.5 (122),28.7 (71),-0.4 (104)
109. Hawaii,-12.6,21.7 (95),34.3 (112),0.0 (75)
110. WMU,-12.9,20.3 (103),33.1 (102),-0.6 (125)
111. ODU,-13.1,22.0 (93),35.1 (115),-0.6 (126)
112. Tulsa,-13.2,23.9 (84),37.1 (125),0.1 (67)
113. Navy,-13.3,15.3 (124),28.6 (70),-0.5 (108)
114. MTSU,-13.4,20.6 (100),34.0 (107),-0.3 (93)
115. Sam Houston,-14.2,18.4 (111),32.7 (99),-0.3 (97)
116. NMSU,-15.5,19.5 (104),35.0 (113),0.2 (51)
117. CMU,-15.9,18.3 (112),34.2 (110),-0.6 (127)
118. EMU,-15.9,13.1 (130),29.0 (75),0.5 (21)
119. So. Miss,-16.1,20.3 (102),36.4 (121),-0.5 (107)
120. La. Tech,-16.7,21.5 (97),38.2 (129),0.4 (41)
121. Nevada,-16.7,19.4 (105),36.1 (120),0.2 (58)
122. Ball St.,-16.9,14.4 (126),31.3 (90),-0.4 (98)
123. Buffalo,-17,12.1 (132),29.0 (74),-0.3 (94)
124. UTEP,-17.8,15.1 (125),32.9 (101),-0.4 (101)
125. UConn,-17.9,14.1 (129),32.0 (93),-0.5 (111)
126. Charlotte,-18.1,17.1 (119),35.2 (117),-0.6 (118)
127. FIU,-19,18.7 (109),37.7 (128),-0.5 (110)
128. UMass,-20.1,19.0 (108),39.1 (130),-0.7 (133)
129. New Mexico,-20.6,17.0 (120),37.6 (126),-0.6 (121)
130. Kent St.,-20.9,14.2 (128),35.1 (114),0.1 (61)
131. Kennesaw St.,-20.9,13.1 (131),34.0 (106),0.0 (70)
132. Temple,-21.9,17.8 (115),39.7 (131),-0.6 (123)
133. Akron,-22.2,6.9 (134),29.1 (76),-0.7 (131)
134. UL-Monroe,-23.4,14.3 (127),37.7 (127),-0.6 (115)
